label,Post_Preprocessed_Comments
negative,woosh bantu warga malaysia ehhh malah malaysia hina x sadar diuntong patotla bankrup
negative,yg tanggung apah negara yg tanggung mon monnntermul yg setia selalu abdi tuan
positive,bravo presiden prabowo putus ambil whoosh lanjut banyuwangi moga jalan lancar selesai baik
negative,rakyat akhir yg bangun whoosh walaupun berat paksa yg punya ide resmi cuci tangan soal hutang nama besar citra yg nomor 1 beban rakyat makin besar padahal rakyat banyak yg susah kurang dinperhatikan whoosh yg hanta kalang tentu utama
neutral,macan sirkus takluk sama 2 pawang
negative,enak jadi jabat apa jadi kan bayar bukan jabat rakyat gk bayar tinggal jual pulau naikin pajak gampang bikin bijak sih oke biaya nalar buka kalau wuuus kan luar nalar
negative,apa cara asal ngomong terus jadi kuras aja hasil rakyat gimana tuh omon omon doang
neutral,henti judi online
negative,whoos malah mau dibayarin kata mau ngejar koruptor antartika ah omon omon doang
negative,aku baru aku wali prabowo kalo prabowo urus tahu mau tau lambat pihak pt wika gedung lambat bayar gajih kerja lama 6 bulan
negative,apa mau joko dpr manut aja timbul soal cuci kaki usul yg korup hukum mati
negative,purbaya layak perintah mundur integritas profesional mu terima negeri konoha
neutral,yg korupsi aja ribu t sita duit koruptor buat bayr hutang indo
negative,hina sendiri pproyek kereta cepat banyak rugi bangun kereta cepat dana lalu hutang besar besar china state railway group belum china railway corporation total utang dekat 900 miliar usd 2023 6 jaring benar benar untung sisa perlu subsidi perintah tahan sama mari akhir subsidi pemeritntah
negative,ringan bgt putus nya tangkap selfester susah bgt
neutral,ijin komen 2 bila 55 jt dolar korup pribadi laku pst tangkap kalo sj sih umpama masuk buat bantu bangun ikn misal sih sj negara yg tanggung jawab putus bpk presiden yaa kalo komenku krg tepat maklum sj kan blg umpama bgtu mis
negative,pantesan konoha makin merosot kalau banding makmur negara konoha sering sekali sebut negara miskin negara emis nyata hutang woosh masuk akal bukan nya cari dalang nya malah lindung koruptor makin jaya konoha
negative,enak bener kalo omon uang rakyat pakai buat hobi koleksi pesawat maniak pesawat buat bayar kereta nya jabat foya2 hutang bayar generasi muda rakyat nya lapar beberapa tinggal lapar hina duduk miskin negara kacau kacau konoha lol
negative,oke pak siapa yg jadi sangka rakyat minta sangka jelas rampok uang rakyat kalau pimpin maaf orang orang tsb jokowi rekan rekan jadi apabila jabat daerah yg korupsi maaf orang orang yg tangkap atau vonis maaf bebas jadi indonesia korupsi
neutral,klo pa prabowo intruksikan menkeu buat bantu bayar utang whoosh purbaya berani bantah
negative,hmmmm akhir pak purbaya seret utk pro jabat
negative,percuma suara kencang2 kl msh tunduk sm jokodok
neutral,potong gaji dpr aja buat bayar cicil woosh
negative,hutang nya udah jatuh tempo bayar makanya kalo bikin apa apa pikir dulu beli mobil gampang mending pake mobil jakarta bandung udh cuma 3jam biaya murah perintah blo on
negative,kasi pak prabowo mreka yg pesta prabowo yg cuci piring tp salut sama pak prabowo mau beres whoos mslh slnjutny ikn
negative,kalau skema pinjam b to b perintah ikut urus benar2 tipu semua yg bicara
negative,jangan tipu bahasa investor investasi banyak gk paham dua kata kok sekarang kaget kok bayar hutang lah pikir investasi apa investor apa dulu gw bilang china ngasih utang buat proyek gw bully hewan ternak mulyono bilang investasi bukan hutang kata waktu mau ngebangun proyek mulut hewan ternak mulyono busa sekarang hilang adab
negative,presiden omon omon
neutral,uang korupsi ambil byr utang sisa rakyat
positive,kren bnget jawab kemenkue bapak purbaya
negative,yakin berani tangkap jokowi paling tumbalin yg kecil dri dulu jg gitu
negative,yakin seyakinya semua koruptor desebut duga moliono libat tindak lanjut
neutral,aga hukum yg beritergritas harus audit dulu yg salah hukum baru minta janji bilang putus hubung diplomatik kalau kerjasa sama beran curang
neutral,whoosh biasa kasih uang 500jtan per hari kok utang
negative,adil jokowi
negative,dpr gila rakyat susah malah menduung panjang
negative,plus 10rb t pajak inpor yg super gilaaaaaa nilai
negative,beres pak lunas lalu adil dua orang yg libat
positive,indonesia makin maju moga semua doa makmur negara sendiri dpr tak sesuai scenario dlm ekonomi sbb sibuk hilir luar negeri saat indonesia butuh pimpin yg jujur betul betul nkri
negative,si joki i ama si luhur jual cina
negative,sono lah si jokowi sama si luhut ngapain minta menke jokowi si opung yg tanggung jawab
negative,suruh penyefonggggg jokowi si luhut bayar 9 naga tuh banyak bikin negara hutang sama cina
neutral,utang negara besiknya beres utang udah bayar aja
neutral,pasilitas umum untung
negative,rakyat indonesia kalian tau kan buat apa
negative,tangkap dulu jokowi usak bangsa gak usah bangun narasi narasi gra gara kalian lah negara lilit hutang jadi jabat modal nyogok
negative,jabat yg buat bijak bisnis gak peduli rakyat yg rugi edan tenan yaaaa klu gak mampu kok utang trus rakyat yg bayar puluh thn pening
negative,cepat usut org yg ambil bijak nya mumpung org nya hidup dunia
negative,yg buat jadi kereta cpt siapa mereka yg mintak tanggung jawab jgn rakyat yg rugi dong hrs usut tuntas semg pak prabowo pihak rakyat nya amin
positive,narasumber realistis positif moga apresiasi pihak2 mudah sulut mudah sulut
negative,hutang lunas kereta api nya rusak
negative,sonang jalan keluo eee korek jelah segaleeee jumpe masalah koje e kprupsi berantas aje kan selosaiii
negative,amat bijak publik kacau malah kayak amat titip kcic harus tvone sebut wakil pro whoosh bukan amat
negative,yg keruk untung vie proyek woosh mulyono san luhut yg bayar hutang rakyat konsep mafia
neutral,perintah jokowi jga macem macem sama jokowi
negative,jangan bias bahas bukan masalah bayar bunga biaya sangat besar
negative,indonesia butuh repormasi total
neutral,lebih penting banyak boos
negative,kok nambah utang aja
neutral,lebih penting bosan boos
negative,memang bengkak sangat wajar mungkin yg ambil untung proyek negara kalau mungkin banyak sekali macam jarah nemu celah langsung serbu rame rame banyak banyak sangat rapi yg jarah siapa tuduh siapa
negative,ini beda orang sekolah orang beli ijasah aja urus negara hancur jadi nya karna gak ngerti untung rugi nya
negative,bangga apa yg buat negara china uang nya ngutang yg benar aja kalau uang sendiri msh lah arti mmng banyak uang lha negara kalau modal buat negara dg uang nya ngutang buatttt jd apa yg bangga malu yg
negative,tuju terus pulau tinggal sumatra kalimantan sulawei perlu jawa mulu
negative,negara bukan jakarta bandung phm uang trilyunan habis situ aja gimana wilayah yg phm whoosh citra an koropsi yg lebih bahaya nya pembiyar an koropsi nya nya p prabowo hrs usut nya kpk jaksa an jangan cuma omon omon
negative,tanda tangan proyek siapa suruh bayar utang
neutral,kalau bayar perintah wajib bayar bunga utang 2 t th lanjur ambil jalan baik audit bagaimana laksana proyek curiga publik ch padang
neutral,yg bayar kerjasama kan kata b to b
negative,pak purbaya gk mau bayar danantara atur ambil apbn makanya kalau kasus apa atas danantara dgn ambil apbn
neutral,yg kurang ni haros piker kan minta dapat banyak yg nganggor
negative,danantara habis buat bayar utang bukan buat investasi
negative,jangan suruh apbn rakyat dong pak perabowo suruh pak jokowi tanggung jawab
negative,pusing mikirin transportasi kereta rugi 81 triliun ga baik bumn garuda indonesia tambah unit pesawat jadi berapa tu subsidi tiket buat terbang domestik mancanegara ekonomi cepet putar simpel tambah unit mikir lintas tinggal nunggu untung tu emang otak rampok
positive,good
negative,kata swasta semua gak bayar utang biar aja pailit adil
negative,orang indonesia butuh pecut lama jajah kalau g gebuk g jalan kalau g yg nekat g punya apa apa pd banyak mikir ahli malas mau yidur tidur jd butuh tekan biar productive
negative,paksa bikin woosh d korupsi proyek
negative,kereta cepat komisi kalau komisi suruh bayar hutang
negative,jokowi lbp rini sumarno sri mulyani termul tangkap sita aset nya buat bayar utang kcic berani ga prabowo
neutral,jangan kecoh tetep fokus coretx partimina
negative,keluarga pakwi yg lunas jng rakyat kecil
negative,sengaja banget push akhir biar cap pahlawan gamau tau gimana cara resin rusa sama kacau nya
negative,jokowi punya bunker uang mungkin ribu trilyun klo mau bayar hutang nya bs bayar kpk hrs periksa rumah jokowi sita uang nya untk bnyr hutang nya
negative,apa bila ijasah joko benar palsu arti hutang negara jadi hutang pribadi hukum
negative,siap beres paling cepat dlm 60 thn danantara
neutral,masa dpr gk tau
negative,cara gimana bener purbaya ga mau nalangin semua modus korupsi gitu proyek gede boncos minta talangin apbn lagi danantara hjolding bumn masak untung bumn mau ngakuin rugi ga mau resin minta talang apbn bener kata purbaya lhah danantara kerja ngapain
neutral,ssssttt jangan berizik prabowo perintah jajak mungkin kereta cepat whoosh lanjut hingga surabaya
negative,bunga hutang suruh jokowi yg bayar
negative,alih isuuue rakyat jngn kecoh babay jabat yg korupsi malah bahas inih udah jelas tu yg korupsi yg rasa kuasa yg sok jago sok ngatur harus gulung tahun rakyat
negative,dulu wktu menku bu sri mulyani uang apbn gelontor buat bayar hutang woosh makanya gilir ganti tri langsung kelimpungan ga bayar
negative,arab saudi 1500 km 130 t 10x lipat panjang nya tp biaya nya sama yg buat bijak yg rugi negara sdh bs pidana kan bs proses
neutral,kalau kontrak besar laku dua negara republik indonesia perintah tiongkok republik indonesia perintah jepang walaupun insfrastruktur ingin sama unggul jauh sepakat kontrak bangun infrastruktur dua wajib pakai
neutral,ikan perintah tiongkok kontrak lebih besar bangun infrastruktur jalan terowongan bawah laut sumatera utara kalimantan barat balik kalimantan barat sumatra utara percaya kontra besar tutup reses hutang whooos railtrainway
negative,termul suruh bayar utang kereta cepat enak aja situ yg nikmat suruh bayar
positive,betul bngun buat fasilitas umum buat majuin negara bkn nikmat pribadi negara sgt kaya apa bangun buat nyjhterain rakyat nikmat umum yg hrs brantas adlh manusia yg korupsi habis miskin
negative,yg pikir panjang kereta cepat surabaya padahal masalah kcic sendiri jadi beban pikir yg biar bangsat asal keran buat nekad
neutral,rakyat komen yg cerdas
neutral,kalo kalkulasi bank nya udh bener duit korup bank investor g salah
negative,dampak ambisi jokowi bangun ikn jadi semua korupsi
negative,jokowi paraaaahhh
negative,jangan mau pak purbaya kalo buat patungan suruh bayar tanggung jawab lah yg punya ide
negative,bayar usut
negative,adil jokowi ternak d mulai makzul fufu fafa
negative,adil jokowi terus rampas harta kaya hasil korupsi nya terus bayarin hutang uang negara kaya nya cara lebih efektif
negative,awas aja uda gaduh dunia gin trus gak orang yg hukum rakyat terus buat mlongo liat kerja perintah yg kurang amanah
negative,betul instruksi presiden prabowo segera cepat slesaikan hutang kreta cepat jngn cuci tangan beban berat utang yg blum lunas kok bisnis kreta cepat utang lgiii ap biar hancur negara gk ush nunggu 60 th lgiii ank ccu msok waris utang trusssss
negative,impi rencana bangga punya ka cepat syah2 sj pak tp sbg orang awam akurasi data ttg pasar guna ka woosh 44 ribu hari utk klas tengah atas efeck multiplayernya apa feasiblity study siapa tahu minta atur hasil hrs feasible akibat hasil study feasible yg gak feasible sekarang jadi kebingunggan utk bayar utang ada urgensi sgr punya kereta cepat shg perlu utang utk ujud selesai dulu bisnis b to b baru mimpi lg lanjut jakarta surabaya rakyat butuh bantu dr perintah duga ada korupsi mark up wajib usut
negative,negara sebenernya benar layak pikir teknologi baru lihat pulau indonesia lain kondisi kembang nya apa ga jawa maju kalau ga tuh tambang kalimantan malu bahkan papua perintah jangan dulu pikir teknologi cukup kaget rakyat lebih pilih perata dulu apa layak papua korban alam nikmat infrastruktur bahkan rasa negara korban 1 wilayah wilayah lain ga mikirin rakyat dampak hey pak kalimantan punya loh sulawesi indonesia loh papua punya rakyat loh pak miris rasa kaya mata air nunggu air bersih butuh hari hari sekali jangan ngebet maju jawa coba lihat perata wilayah selain kalau pikir bikin aja negara sendiri misal jawir jawa indonesia raya eh kalaupun bener jawa pisah bakal miskin sih negara faktor donatur ngemis pulau belah
negative,jangan cuma hutang whoosh beres jokowi beres yg timbul banyak masalah negara
negative,moga pak prabowo segera sadar lepas bayang2 jokowi bapak pecat semua termul2 jadi jabat lingkung kabinet bapak
neutral,plus minus cuman lihat mampu laksana suatu proyek
negative,tuhan jokowi malaikat lohut bayar
negative,yg gk penting bangun gk manfaat ninggalin beban utang negara depan
positive,suruh ngemplang aja se 7
negative,biar lungut sama jokowi yg tanggung bikin susah presiden baru kandangin orang adil sita kaya miskin
positive,gapapa bayar usut kalo bayar gak usut enak banget mafia2 korupsi
positive,kereta cepat sangat penting bangsa indonesia masa depan besar mana mbg 359 t apa whoosh 116t mana benar hambur uang
